product_key,product_name,category,subcategory,cost,last_sale_date,recency_in_months,product_obsolescence_status,lifetime_sales_tier,active_lifespan_tier,product_margin_segment,product_profit_volume_segment,purchase_frequency_tier,total_sales,total_quantity,total_orders,total_customers,lifespan_months,avg_selling_price,avg_order_revenue,avg_monthly_revenue,sales_2012,sales_2013,product_yoy_sales_growth_rate
1,HL Road Frame - Black- 58,Components,Road Frames,0,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
2,HL Road Frame - Red- 58,Components,Road Frames,0,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
3,Mountain-100 Black- 38,Bikes,Mountain Bikes,1898,27/12/2011,24,Obsolete / Dead Stock (12+ Months Inactive),High-Performer (Lifetime),Standard Run (7-12 Months Active),High Margin Driver (40%+),Massive Cash Generator (>$20k),Repeat Purchase,165375,49,49,49,11,3375,3375,13781.25,0,0,0
4,Mountain-100 Black- 42,Bikes,Mountain Bikes,1898,27/12/2011,24,Obsolete / Dead Stock (12+ Months Inactive),High-Performer (Lifetime),Standard Run (7-12 Months Active),High Margin Driver (40%+),Massive Cash Generator (>$20k),Repeat Purchase,151875,45,45,45,11,3375,3375,12656.25,0,0,0
5,Mountain-100 Black- 44,Bikes,Mountain Bikes,1898,21/12/2011,24,Obsolete / Dead Stock (12+ Months Inactive),High-Performer (Lifetime),Standard Run (7-12 Months Active),High Margin Driver (40%+),Massive Cash Generator (>$20k),Repeat Purchase,202500,60,60,60,11,3375,3375,16875,0,0,0
6,Mountain-100 Black- 48,Bikes,Mountain Bikes,1898,26/12/2011,24,Obsolete / Dead Stock (12+ Months Inactive),High-Performer (Lifetime),Standard Run (7-12 Months Active),High Margin Driver (40%+),Massive Cash Generator (>$20k),Repeat Purchase,192375,57,57,57,12,3375,3375,14798.08,0,0,0
7,Mountain-100 Silver- 38,Bikes,Mountain Bikes,1912,22/12/2011,24,Obsolete / Dead Stock (12+ Months Inactive),High-Performer (Lifetime),Standard Run (7-12 Months Active),High Margin Driver (40%+),Massive Cash Generator (>$20k),Repeat Purchase,197200,58,58,58,12,3400,3400,15169.23,0,0,0
8,Mountain-100 Silver- 42,Bikes,Mountain Bikes,1912,28/12/2011,24,Obsolete / Dead Stock (12+ Months Inactive),High-Performer (Lifetime),Standard Run (7-12 Months Active),High Margin Driver (40%+),Massive Cash Generator (>$20k),Repeat Purchase,142800,42,42,42,11,3400,3400,11900,0,0,0
9,Mountain-100 Silver- 44,Bikes,Mountain Bikes,1912,12/12/2011,24,Obsolete / Dead Stock (12+ Months Inactive),High-Performer (Lifetime),Standard Run (7-12 Months Active),High Margin Driver (40%+),Massive Cash Generator (>$20k),Repeat Purchase,166600,49,49,49,12,3400,3400,12815.38,0,0,0
10,Mountain-100 Silver- 48,Bikes,Mountain Bikes,1912,23/12/2011,24,Obsolete / Dead Stock (12+ Months Inactive),High-Performer (Lifetime),Standard Run (7-12 Months Active),High Margin Driver (40%+),Massive Cash Generator (>$20k),Repeat Purchase,122400,36,36,36,11,3400,3400,10200,0,0,0
